Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1920,Belgium,Antwerp,Switzerland,SUI,2,2,7
1920,Belgium,Antwerp,Brazil,BRA,1,1,1
1920,Belgium,Antwerp,Australia,AUS,0,2,1
1920,Belgium,Antwerp,Denmark,DEN,3,9,1
1920,Belgium,Antwerp,South Africa,RSA,3,4,3
1920,Belgium,Antwerp,Canada,CAN,3,3,3
1920,Belgium,Antwerp,Luxembourg,LUX,0,1,0
1920,Belgium,Antwerp,Czechoslovakia,TCH,0,0,2
1920,Belgium,Antwerp,New Zealand,NZL,0,0,1
1920,Belgium,Antwerp,Japan,JPN,0,2,0
1920,Belgium,Antwerp,Spain,ESP,0,2,0
1920,Belgium,Antwerp,Greece,GRE,0,1,0
1920,Belgium,Antwerp,Netherlands,NED,4,2,5
1920,Belgium,Antwerp,Belgium,BEL,16,12,14
1920,Belgium,Antwerp,Finland,FIN,15,10,9
1920,Belgium,Antwerp,Sweden,SWE,19,20,25
1920,Belgium,Antwerp,Estonia,EST,1,2,0
1920,Belgium,Antwerp,United States,USA,41,27,27
1920,Belgium,Antwerp,France,FRA,9,19,13
1920,Belgium,Antwerp,Italy,ITA,13,5,5
1920,Belgium,Antwerp,Norway,NOR,13,9,9
1920,Belgium,Antwerp,Great Britain,GBR,14,16,13
