NOC,Medal,Count
ARG,Silver,1
AUS,Bronze,10
AUS,Gold,6
AUS,Silver,2
BAH,Gold,1
BEL,Bronze,1
BEL,Gold,2
BRA,Bronze,1
BUL,Bronze,2
BUL,Gold,3
BUL,Silver,5
CAN,Bronze,1
CAN,Gold,1
CAN,Silver,2
CUB,Silver,1
DEN,Bronze,3
DEN,Gold,2
DEN,Silver,1
ETH,Gold,1
FIN,Bronze,2
FIN,Gold,3
FRA,Bronze,6
FRA,Gold,1
FRA,Silver,8
GBR,Bronze,2
GBR,Gold,4
GBR,Silver,12
GER,Bronze,18
GER,Gold,10
GER,Silver,22
GHA,Bronze,1
HUN,Bronze,5
HUN,Gold,10
HUN,Silver,7
IND,Gold,1
IRI,Bronze,2
IRL,Bronze,1
ITA,Bronze,7
ITA,Gold,10
ITA,Silver,10
JPN,Bronze,8
JPN,Gold,16
JPN,Silver,5
KEN,Bronze,1
KOR,Bronze,1
KOR,Silver,2
MEX,Bronze,1
NED,Bronze,4
NED,Gold,2
NED,Silver,4
NGR,Bronze,1
NZL,Bronze,2
NZL,Gold,3
PAK,Silver,1
PHI,Silver,1
POL,Bronze,10
POL,Gold,7
POL,Silver,6
ROU,Bronze,6
ROU,Gold,2
ROU,Silver,4
SUI,Bronze,1
SUI,Gold,1
SUI,Silver,2
SWE,Bronze,4
SWE,Gold,2
SWE,Silver,2
TCH,Bronze,3
TCH,Gold,5
TCH,Silver,6
TTO,Bronze,2
TTO,Silver,1
TUN,Bronze,1
TUN,Silver,1
TUR,Bronze,1
TUR,Gold,2
TUR,Silver,3
URS,Bronze,33
URS,Gold,30
URS,Silver,30
URU,Bronze,1
USA,Bronze,28
USA,Gold,36
USA,Silver,26
YUG,Bronze,2
YUG,Gold,2
YUG,Silver,1
