Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1964,Japan,Tokyo,France,FRA,1,8,6
1964,Japan,Tokyo,Canada,CAN,1,2,1
1964,Japan,Tokyo,Yugoslavia,YUG,2,1,2
1964,Japan,Tokyo,Belgium,BEL,2,0,1
1964,Japan,Tokyo,Ethiopia,ETH,1,0,0
1964,Japan,Tokyo,India,IND,1,0,0
1964,Japan,Tokyo,Switzerland,SUI,1,2,1
1964,Japan,Tokyo,Bahamas,BAH,1,0,0
1964,Japan,Tokyo,New Zealand,NZL,3,0,2
1964,Japan,Tokyo,Romania,ROU,2,4,6
1964,Japan,Tokyo,Bulgaria,BUL,3,5,2
1964,Japan,Tokyo,Finland,FIN,3,0,2
1964,Japan,Tokyo,Sweden,SWE,2,2,4
1964,Japan,Tokyo,Denmark,DEN,2,1,3
1964,Japan,Tokyo,Netherlands,NED,2,4,4
1964,Japan,Tokyo,Turkey,TUR,2,3,1
1964,Japan,Tokyo,Ireland,IRL,0,0,1
1964,Japan,Tokyo,Kenya,KEN,0,0,1
1964,Japan,Tokyo,Brazil,BRA,0,0,1
1964,Japan,Tokyo,Ghana,GHA,0,0,1
1964,Japan,Tokyo,Uruguay,URU,0,0,1
1964,Japan,Tokyo,Japan,JPN,16,5,8
1964,Japan,Tokyo,Mexico,MEX,0,0,1
1964,Japan,Tokyo,Nigeria,NGR,0,0,1
1964,Japan,Tokyo,Tunisia,TUN,0,1,1
1964,Japan,Tokyo,Argentina,ARG,0,1,0
1964,Japan,Tokyo,South Korea,KOR,0,2,1
1964,Japan,Tokyo,Trinidad and Tobago,TRI,0,1,2
1964,Japan,Tokyo,Philippines,PHI,0,1,0
1964,Japan,Tokyo,Iran,IRI,0,0,2
1964,Japan,Tokyo,Cuba,CUB,0,1,0
1964,Japan,Tokyo,Pakistan,PAK,0,1,0
1964,Japan,Tokyo,United Team of Germany,EUA,10,22,18
1964,Japan,Tokyo,Italy,ITA,10,10,7
1964,Japan,Tokyo,United States,USA,36,26,28
1964,Japan,Tokyo,Soviet Union,URS,30,31,35
1964,Japan,Tokyo,Hungary,HUN,10,7,5
1964,Japan,Tokyo,Czechoslovakia,TCH,5,6,3
1964,Japan,Tokyo,Great Britain,GBR,4,12,2
1964,Japan,Tokyo,Poland,POL,7,6,10
1964,Japan,Tokyo,Australia,AUS,6,2,10
