NOC,Medal,Count
ARG,Gold,3
ARG,Silver,1
AUS,Bronze,1
AUS,Gold,3
AUS,Silver,1
AUT,Bronze,3
AUT,Gold,1
AUT,Silver,1
BEL,Bronze,1
CAN,Bronze,9
CAN,Gold,2
CAN,Silver,5
DEN,Bronze,3
DEN,Silver,5
ESP,Bronze,1
FIN,Bronze,12
FIN,Gold,5
FIN,Silver,8
FRA,Bronze,4
FRA,Gold,11
FRA,Silver,5
GBR,Bronze,5
GBR,Gold,5
GBR,Silver,7
GER,Bronze,7
GER,Gold,5
GER,Silver,12
HUN,Bronze,5
HUN,Gold,6
HUN,Silver,5
IND,Gold,1
IRL,Gold,2
ITA,Bronze,12
ITA,Gold,12
ITA,Silver,12
JPN,Bronze,4
JPN,Gold,7
JPN,Silver,7
LAT,Silver,1
MEX,Silver,2
NED,Bronze,1
NED,Gold,2
NED,Silver,5
NZL,Silver,1
PHI,Bronze,3
POL,Bronze,4
POL,Gold,3
POL,Silver,2
RSA,Bronze,3
RSA,Gold,2
SUI,Silver,1
SWE,Bronze,9
SWE,Gold,10
SWE,Silver,5
TCH,Bronze,2
TCH,Gold,1
TCH,Silver,3
URU,Bronze,1
USA,Bronze,30
USA,Gold,44
USA,Silver,36
