Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1932,United States,Los Angeles,Argentina,ARG,3,1,0
1932,United States,Los Angeles,Australia,AUS,3,1,1
1932,United States,Los Angeles,Germany,GER,3,12,5
1932,United States,Los Angeles,Poland,POL,2,1,4
1932,United States,Los Angeles,Netherlands,NED,2,5,0
1932,United States,Los Angeles,Canada,CAN,2,5,8
1932,United States,Los Angeles,Great Britain,GBR,4,7,5
1932,United States,Los Angeles,Sweden,SWE,9,5,9
1932,United States,Los Angeles,France,FRA,10,5,4
1932,United States,Los Angeles,Italy,ITA,12,12,12
1932,United States,Los Angeles,Finland,FIN,5,8,12
1932,United States,Los Angeles,Hungary,HUN,6,4,5
1932,United States,Los Angeles,Japan,JPN,7,7,4
1932,United States,Los Angeles,South Africa,RSA,2,0,3
1932,United States,Los Angeles,Philippines,PHI,0,0,3
1932,United States,Los Angeles,Switzerland,SUI,0,1,0
1932,United States,Los Angeles,New Zealand,NZL,0,1,0
1932,United States,Los Angeles,United States,USA,41,32,30
1932,United States,Los Angeles,Uruguay,URU,0,0,1
1932,United States,Los Angeles,Spain,ESP,0,0,1
1932,United States,Los Angeles,Latvia,LAT,0,1,0
1932,United States,Los Angeles,Austria,AUT,1,1,3
1932,United States,Los Angeles,Czechoslovakia,TCH,1,2,1
1932,United States,Los Angeles,Ireland,IRL,2,0,0
1932,United States,Los Angeles,Mexico,MEX,0,2,0
1932,United States,Los Angeles,Denmark,DEN,0,3,3
1932,United States,Los Angeles,India,IND,1,0,0
