Year,Host_country,Host_city,Team,Code,Gold,Silver,Bronze
1932,United States,Los Angeles,United States,USA,41,32,30
1932,United States,Los Angeles,Italy,ITA,12,12,12
1932,United States,Los Angeles,France,FRA,10,5,4
1932,United States,Los Angeles,Sweden,SWE,9,5,9
1932,United States,Los Angeles,Japan,JPN,7,7,4
1932,United States,Los Angeles,Hungary,HUN,6,4,5
1932,United States,Los Angeles,Finland,FIN,5,8,12
1932,United States,Los Angeles,Great Britain,GBR,4,7,5
1932,United States,Los Angeles,Argentina,ARG,3,1,0
1932,United States,Los Angeles,Germany,GER,3,12,5
